WRONG_SUM! 17/01 13:56:07 SUM: 37  	b'\x9a\xb4{\xba\xfd\xd9\x97\xfc\xdd\x97\xfa\x81\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 87  	b'\x9a\x80\x00{\xc5\x8f\xbe\xa3d\x97hRq\x0c\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 231  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\x98\xb44\xb8\xe4(\x98\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 106  	b'3\x00\xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 93  	b'3 \xa8\xefEU\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 214  	b'\xc2\x80@x\x85\x0f\x9e?%\x7f\x9f\x89\xc6*\xf4\xbe*\xf4\x06\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 73  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 113  	b'\xc7\x00@x\x85\xe1\xdf\x1c2\xf4\x9c\xb9\xe8$\xd2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 46  	b'\xce\xb4\xc3n\xf6\xa9\xb4\xf6?\xb5\xfb\xe7\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 239  	b'S\xf5\xc9\x00'
