WRONG_SUM! 17/01 14:20:09 SUM: 171  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 142  	b'3 \xa8_1\xed\xb1\x07B\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 93  	b'3 \xa8\xef@U\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 110  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00oU\xff\xc9\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 98  	b'\xc7\x9a\xa0\xa6h\x02\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 75  	b'\xc7\x80@x\x85\xe1O\x1c\x93\xa0\x9c\xb9\xe8$\xd2\xa0\xc4\xb68\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 38  	b'\xc7\x80@~YR\x0e\x1c\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 192  	b'\xce\xb4\xc3\xae\xf6\xa9\xb5\xf6?\xb5\xfb\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 34  	b'3\x00(\xce\xc5q\xef2\x00\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 237  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 195  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xc9\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 98  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\x98\n'
WRONG_SUM! 17/01 14:20:10 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 243  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 147  	b'3\x00\xa8\xef\xc5U\xd0\xc2_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
